mention_id,player,artist,song,release_date,mention_type,artist_tier,player_position,era,drop_type,effective_date,vader_compound,vader_pos,vader_neg,before_PTS_mean,before_AST_mean,before_REB_mean,before_PTS_std,before_AST_std,before_REB_std,before_n_games,after_1g_PTS_mean,after_1g_AST_mean,after_1g_REB_mean,after_1g_PTS_std,after_1g_AST_std,after_1g_REB_std,after_1g_n_games,after_10g_PTS_mean,after_10g_AST_mean,after_10g_REB_mean,after_10g_PTS_std,after_10g_AST_std,after_10g_REB_std,after_10g_n_games,after_30g_PTS_mean,after_30g_AST_mean,after_30g_REB_mean,after_30g_PTS_std,after_30g_AST_std,after_30g_REB_std,after_30g_n_games,after_season_PTS_mean,after_season_AST_mean,after_season_REB_mean,after_season_PTS_std,after_season_AST_std,after_season_REB_std,after_season_n_games,before_PTS_pace_adj,before_AST_pace_adj,before_REB_pace_adj,after_1g_PTS_pace_adj,after_1g_AST_pace_adj,after_1g_REB_pace_adj,after_10g_PTS_pace_adj,after_10g_AST_pace_adj,after_10g_REB_pace_adj,after_30g_PTS_pace_adj,after_30g_AST_pace_adj,after_30g_REB_pace_adj,after_season_PTS_pace_adj,after_season_AST_pace_adj,after_season_REB_pace_adj,delta_after_1g_PTS,delta_after_1g_PTS_adj,delta_after_1g_AST,delta_after_1g_AST_adj,delta_after_1g_REB,delta_after_1g_REB_adj,delta_after_10g_PTS,delta_after_10g_PTS_adj,delta_after_10g_AST,delta_after_10g_AST_adj,delta_after_10g_REB,delta_after_10g_REB_adj,delta_after_30g_PTS,delta_after_30g_PTS_adj,delta_after_30g_AST,delta_after_30g_AST_adj,delta_after_30g_REB,delta_after_30g_REB_adj,delta_after_season_PTS,delta_after_season_PTS_adj,delta_after_season_AST,delta_after_season_AST_adj,delta_after_season_REB,delta_after_season_REB_adj,zscore_after_30g_PTS,zscore_after_30g_AST,zscore_after_30g_REB,composite_delta_30g,weighted_impact
1,LeBron James,Drake,Forever,2009-08-13,compliment,2.8,SF,2000s,off_season,2009-10-27,0.0,0.0,0.0,28.3,7.6,7.77,9.81,3.1,3.26,30,38.0,8.0,4.0,,,,1,27.5,7.6,7.2,7.59,2.27,2.15,10,28.83,7.83,7.1,8.06,2.29,2.83,30,27.13,7.62,7.84,7.21,3.07,2.94,523,30.55,8.2,8.39,41.02,8.64,4.32,29.69,8.2,7.77,31.12,8.45,7.67,29.29,8.23,8.46,9.7,10.47,0.4,0.44,-3.77,-4.07,-0.8,-0.86,0.0,0.0,-0.57,-0.62,0.53,0.57,0.23,0.25,-0.67,-0.72,-1.17,-1.26,0.02,0.03,0.07,0.07,0.24,0.008,-0.861,0.087,0.244
2,Kobe Bryant,Lil Wayne,Kobe Bryant,2009-11-16,compliment,2.5,SG,2000s,in_season,2009-11-16,0.0,0.0,0.0,25.57,4.03,4.6,8.31,1.96,2.37,30,40.0,5.0,5.0,,,,1,27.5,5.5,6.2,6.9,1.96,1.69,10,28.3,5.03,5.4,9.53,2.39,2.43,30,25.84,5.01,5.26,7.87,2.56,2.59,145,27.61,4.35,4.97,43.18,5.4,5.4,29.69,5.94,6.69,30.55,5.43,5.83,27.9,5.41,5.68,14.43,15.57,0.97,1.05,0.4,0.43,1.93,2.08,1.47,1.59,1.6,1.72,2.73,2.94,1.0,1.08,0.8,0.86,0.27,0.29,0.98,1.06,0.66,0.71,0.779,0.673,0.816,1.758,4.395
3,Shaquille O'Neal,Notorious B.I.G.,The What,1994-09-13,compliment,3.0,C,1990s,off_season,1994-11-04,0.3612,0.294,0.0,29.87,2.1,14.53,9.03,1.37,3.64,30,28.0,3.0,12.0,,,,1,31.2,3.0,11.3,7.71,1.83,4.45,10,29.87,2.6,10.47,7.18,1.43,3.95,30,28.43,3.17,11.95,7.57,1.95,4.09,348,31.82,2.24,15.48,29.83,3.2,12.78,33.24,3.2,12.04,31.82,2.77,11.15,30.29,3.38,12.73,-1.87,-1.99,0.9,0.96,-2.53,-2.7,1.33,1.42,0.9,0.96,-3.23,-3.44,0.0,0.0,0.5,0.53,-4.06,-4.33,-1.44,-1.53,1.07,1.14,-2.58,-2.75,-0.134,0.404,-2.6,-1.14,-3.42
4,Allen Iverson,Jay-Z,Hovi Baby,2000-10-31,compliment,3.0,PG,2000s,in_season,2000-10-31,0.3612,0.333,0.0,24.73,4.83,3.83,8.17,2.25,1.93,30,25.0,9.0,6.0,,,,1,23.1,5.8,4.4,4.12,2.15,2.37,10,26.53,4.83,4.4,8.49,2.7,2.62,30,29.19,5.49,4.08,9.2,2.6,2.14,261,26.7,5.21,4.13,26.99,9.72,6.48,24.94,6.26,4.75,28.64,5.21,4.75,31.51,5.93,4.4,0.27,0.29,4.17,4.51,2.17,2.35,-1.63,-1.76,0.97,1.05,0.57,0.62,1.8,1.94,0.0,0.0,0.57,0.62,4.46,4.81,0.66,0.72,0.25,0.27,0.552,-0.192,0.561,0.962,2.886
5,Kevin Durant,Kendrick Lamar,Backseat Freestyle,2012-10-22,neutral,2.9,SF,2010s,in_season,2012-10-22,0.0,0.0,0.0,28.03,3.67,8.03,6.55,2.09,2.92,30,23.0,5.0,14.0,,,,1,24.5,4.1,10.2,4.74,2.28,3.88,10,28.47,4.07,7.97,6.7,1.96,3.58,30,27.97,5.0,7.63,7.54,2.43,3.16,391,28.03,3.67,8.03,23.0,5.0,14.0,24.5,4.1,10.2,28.47,4.07,7.97,27.97,5.0,7.63,-5.03,-5.03,1.33,1.33,5.97,5.97,-3.53,-3.53,0.43,0.43,2.17,2.17,0.44,0.44,0.4,0.4,-0.06,-0.06,-0.06,-0.06,1.33,1.33,-0.4,-0.4,-0.122,0.389,-0.486,0.278,0.806
6,Patrick Ewing,Notorious B.I.G.,One More Chance,1994-09-13,diss,3.0,C,1990s,off_season,1994-11-04,0.6486,0.346,0.0,24.03,2.17,11.67,6.09,1.46,3.74,30,21.0,0.0,13.0,,,,1,20.4,2.7,9.1,3.34,1.77,3.9,10,21.0,2.8,10.07,6.11,2.06,3.4,30,22.95,2.27,10.76,7.57,1.77,3.85,233,25.6,2.31,12.43,22.37,0.0,13.85,21.73,2.88,9.69,22.37,2.98,10.73,24.45,2.42,11.46,-3.03,-3.23,-2.17,-2.31,1.33,1.42,-3.63,-3.87,0.53,0.57,-2.57,-2.74,-3.03,-3.23,0.63,0.67,-1.6,-1.7,-1.08,-1.15,0.1,0.11,-0.91,-0.97,-1.472,0.506,-1.004,-1.601,-4.803
8,Gary Payton,Jay-Z,D'Evils,1996-06-25,neutral,3.0,PG,1990s,off_season,1996-11-01,0.3612,0.217,0.0,20.0,7.63,4.53,7.45,3.46,2.74,30,24.0,6.0,6.0,,,,1,20.6,7.8,4.0,4.09,1.69,2.4,10,21.93,7.2,3.97,4.65,2.33,2.14,30,21.77,7.11,4.61,5.13,2.73,2.51,82,21.31,8.13,4.83,25.57,6.39,6.39,21.94,8.31,4.26,23.36,7.67,4.23,23.19,7.57,4.91,4.0,4.26,-1.63,-1.74,1.47,1.56,0.6,0.63,0.17,0.18,-0.53,-0.57,1.93,2.05,-0.43,-0.46,-0.56,-0.6,1.77,1.88,-0.52,-0.56,0.08,0.08,0.716,-0.315,-0.337,0.502,1.506
9,Vince Carter,Ludacris,Saturday (Oooh Ooooh!),2000-09-26,compliment,2.3,SG,2000s,in_season,2000-09-26,-0.1779,0.197,0.252,27.2,3.93,5.43,8.08,2.24,2.5,30,26.0,2.0,3.0,,,,1,30.4,3.3,4.9,8.21,2.0,2.81,10,28.27,3.87,5.7,9.52,2.67,2.97,30,27.6,3.88,5.55,8.64,2.48,2.83,75,29.37,4.24,5.86,28.07,2.16,3.24,32.82,3.56,5.29,30.52,4.18,6.15,29.8,4.19,5.99,-1.2,-1.3,-1.93,-2.08,-2.43,-2.62,3.2,3.45,-0.63,-0.68,-0.53,-0.57,1.07,1.15,-0.06,-0.06,0.27,0.29,0.4,0.43,-0.05,-0.05,0.12,0.13,0.372,-0.24,0.211,0.529,1.217
10,Tim Duncan,Common,The Food,2005-05-24,compliment,2.4,PF,2000s,off_season,2005-11-01,0.3612,0.238,0.0,18.43,2.83,10.13,7.05,1.86,4.22,30,19.0,6.0,10.0,,,,1,21.7,3.1,11.3,5.4,1.73,2.63,10,20.77,3.33,11.53,6.1,1.77,3.61,30,18.56,3.16,11.01,5.88,1.93,3.54,80,19.9,3.06,10.94,20.51,6.48,10.8,23.43,3.35,12.2,22.42,3.6,12.45,20.04,3.41,11.89,0.57,0.61,3.17,3.42,-0.13,-0.14,3.27,3.53,0.27,0.29,1.17,1.26,2.34,2.52,0.5,0.54,1.4,1.51,0.13,0.14,0.33,0.35,0.88,0.95,0.683,0.24,1.506,1.623,3.895
11,Dwyane Wade,Kanye West,Champion,2007-09-11,compliment,2.9,SG,2000s,off_season,2007-11-14,0.5994,0.281,0.0,26.53,7.2,4.53,9.29,3.07,2.62,30,15.0,5.0,1.0,,,,1,20.0,5.4,3.5,8.01,2.63,2.01,10,24.47,6.9,4.13,9.35,2.4,2.34,30,20.88,5.27,4.34,9.98,2.86,2.26,331,28.64,7.77,4.89,16.19,5.4,1.08,21.59,5.83,3.78,26.42,7.45,4.46,22.54,5.69,4.69,-11.53,-12.45,-2.2,-2.37,-3.53,-3.81,-6.53,-7.05,-1.8,-1.94,-1.03,-1.11,-2.06,-2.22,-0.3,-0.32,-0.4,-0.43,-5.65,-6.1,-1.93,-2.08,-0.19,-0.2,-0.393,-0.448,-0.554,-1.113,-3.228
